URL,Title,Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
https://ikman.lk/en/ad/toyota-roomy-custom-g-turbo-2023-for-sale-colombo-16,Toyota Roomy Custom G Turbo 2023,"Rs 10,500,000",Toyota,Roomy,Custom G Turbo,2023,Reconditioned,Automatic,,Petrol,"1,000 cc","30,000 km"
https://ikman.lk/en/ad/toyota-roomy-custom-g-2025-for-sale-colombo-75,Toyota Roomy CUSTOM G 2025,"Rs 11,250,000",Toyota,Roomy,CUSTOM G,2025,Brand New,Automatic,,Petrol,"1,000 cc","8,000 km"
https://ikman.lk/en/ad/toyota-roomy-custom-g-turbo-2023-for-sale-colombo-18,Toyota Roomy CUSTOM G TURBO 2023,"Rs 10,550,000",Toyota,Roomy,CUSTOM G TURBO,2023,Brand New,Automatic,,Petrol,"1,000 cc","30,000 km"
https://ikman.lk/en/ad/toyota-hilux-travo-overland-28-2026-for-sale-colombo-1,Toyota Hilux Travo Overland+ 2.8 2026,"Rs 28,900,000",Toyota,Hilux,Travo Overland+ 2.8,2026,Brand New,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-yaris-x-limited-2023-for-sale-colombo-64,Toyota Yaris X Limited 2023,"Rs 8,950,000",Toyota,Yaris,X Limited,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","78,000 km"
https://ikman.lk/en/ad/toyota-vellfire-z-premium-2025-for-sale-colombo,Toyota Vellfire Z Premium 2025,"Rs 53,000,000",Toyota,Vellfire,Z Premium,2025,Used,Automatic,MPV,Petrol,"2,500 cc","7,000 km"
https://ikman.lk/en/ad/toyota-raize-z-12l-petrol-2024-for-sale-colombo,Toyota Raize Z 1.2L Petrol 2024,"Rs 12,500,000",Toyota,Raize,Z 1.2L Petrol,2024,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","9,000 km"
https://ikman.lk/en/ad/toyota-hilux-rocco-revo-2025-for-sale-colombo-2,Toyota Hilux Rocco Revo 2025,"Rs 26,500,000",Toyota,Hilux,Rocco Revo,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-yaris-x-limited-2023-for-sale-colombo-62,Toyota Yaris x limited 2023,"Rs 8,950,000",Toyota,Yaris,x limited,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","75,000 km"
https://ikman.lk/en/ad/toyota-hilux-rocco-revo-2025-for-sale-colombo,Toyota Hilux Rocco Revo 2025,"Rs 26,500,000",Toyota,Hilux,Rocco Revo,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-raize-2023-for-sale-colombo-68,Toyota Raize 2023,"Rs 13,000,000",Toyota,Raize,,2023,Brand New,Automatic,,Petrol,"1,000 cc","20,113 km"
https://ikman.lk/en/ad/toyota-yaris-x-limited-2023-for-sale-colombo-61,Toyota Yaris x limited 2023,"Rs 8,950,000",Toyota,Yaris,x limited,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","80,000 km"
https://ikman.lk/en/ad/toyota-yaris-ativ-15l-highest-grade-2025-for-sale-colombo,Toyota Yaris Ativ 1.5L Highest Grade 2025,"Rs 18,500,000",Toyota,Yaris Ativ,1.5L Highest Grade,2025,Brand New,Automatic,Saloon,Hybrid,"1,500 cc",0 km
https://ikman.lk/en/ad/toyota-corolla-fielder-2023-for-sale-colombo-8,Toyota Corolla Fielder 2023,"Rs 13,700,000",Toyota,Corolla,Fielder,2023,Reconditioned,Automatic,Station wagon,Hybrid,"1,500 cc","32,000 km"
https://ikman.lk/en/ad/toyota-vitz-2018-for-sale-colombo-1360,Toyota Vitz 2018,"Rs 8,500,000",Toyota,Vitz,,2018,Used,Automatic,,Petrol,"1,000 cc","82,000 km"
https://ikman.lk/en/ad/toyota-alphard-executive-lounge-2024-for-sale-colombo-87,Toyota Alphard Executive Lounge 2024,"Rs 64,950,000",Toyota,Alphard,Executive Lounge,2024,Reconditioned,Automatic,MPV,Hybrid,"2,500 cc","4,000 km"
https://ikman.lk/en/ad/toyota-alphard-premium-executive-lo-2024-for-sale-colombo-7,Toyota Alphard Premium Executive Lo 2024,"Rs 64,450,000",Toyota,Alphard,Premium Executive Lo,2024,Reconditioned,Automatic,MPV,Hybrid,"2,500 cc","7,000 km"
https://ikman.lk/en/ad/toyota-voxy-fully-loaded-2014-for-sale-colombo-3,Toyota Voxy Fully Loaded 2014,"Rs 16,500,000",Toyota,Voxy,Fully Loaded,2014,Used,Automatic,MPV,Petrol,"1,800 cc","129,000 km"
