Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 8,550,000",Toyota,Passo,2023,"12,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 13,250,000",Toyota,Raize,2024,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,450,000",Toyota,Raize,2025,0 km,Automatic,Petrol,"1,200 cc",Brand New
"Rs 8,975,000",Toyota,Yaris,2023,"72,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 6,000,000",Toyota,Wigo,2017,"91,000 km",Automatic,Petrol,998 cc,Used
"Rs 16,000,000",Toyota,Corolla,2023,"8,200 km",Tiptronic,Petrol,"1,500 cc",Reconditioned
"Rs 12,500,000",Toyota,Raize,2025,"18,000 km",Tiptronic,Petrol,"1,000 cc",Reconditioned
"Rs 54,200,000",Toyota,Land Cruiser Prado,2023,"13,000 km",Tiptronic,Petrol,"2,700 cc",Reconditioned
"Rs 7,900,000",Toyota,Vitz,2017,"95,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 14,600,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 28,000,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 18,550,000",Toyota,Yaris,2025,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 19,250,000",Toyota,Corolla,2025,0 km,Automatic,Petrol,"1,500 cc",Brand New
"Rs 12,250,000",Toyota,CHR,2017,"102,400 km",Automatic,Petrol,"1,200 cc",Used
"Rs 10,650,000",Toyota,Yaris,2024,"5,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 11,500,000",Toyota,Taisor,2024,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 45,000,000",Toyota,Yaris,2023,"12,000 km",Manual,Petrol,"1,600 cc",Brand New
"Rs 15,000,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 8,500,000",Toyota,Aqua,2015,"198,000 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 12,495,000",Toyota,Raize,2025,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,350,000",Toyota,Raize,2025,25 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 10,950,000",Toyota,Yaris,2024,"10,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,750,000",Toyota,Raize,2026,55 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 14,875,000",Toyota,Raize,2025,47 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 14,850,000",Toyota,Raize,2026,13 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 11,350,000",Toyota,Yaris,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 18,000,000",Toyota,Yaris,2026,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 17,985,000",Toyota,Yaris,2026,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 12,500,000",Toyota,Premio,2014,"121,667 km",Automatic,Petrol,"1,500 cc",Used
"Rs 28,750,000",Toyota,Hilux,2025,800 km,Tiptronic,Diesel,"2,800 cc",Used
"Rs 12,950,000",Toyota,Raize,2024,"5,500 km",Automatic,Petrol,"1,200 cc",Reconditioned
"Rs 42,500,000",Toyota,Land Cruiser Prado,2018,"110,000 km",Automatic,Petrol,"2,800 cc",Reconditioned
"Rs 14,650,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 14,650,000",Toyota,Raize,2026,0 km,Automatic,Petrol,"1,200 cc",Brand New
"Rs 13,190,000",Toyota,Raize,2025,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,650,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 5,975,000",Toyota,Vios,2010,"98,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 5,790,000",Toyota,Vios,2010,"165,000 km",Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 8,590,000",Toyota,Aqua,2015,"152,500 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 10,650,000",Toyota,Roomy,2024,"4,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 8,495,000",Toyota,Passo,2024,"15,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 51,000,000",Toyota,Land Cruiser Prado,2018,"16,000 km",Automatic,Diesel,"2,800 cc",Used
"Rs 6,975,000",Toyota,Vitz,2016,"150,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 4,395,000",Toyota,Corolla,1997,"170,043 km",Automatic,Petrol,"1,490 cc",Used
"Rs 9,575,000",Toyota,Prius,2011,"133,034 km",Automatic,Hybrid,"1,790 cc",Used
"Rs 8,250,000",Toyota,Vitz,2018,"112,050 km",Automatic,Petrol,"1,000 cc",Used
"Rs 5,625,000",Toyota,Vitz,2007,"195,300 km",Automatic,Petrol,"1,300 cc",Used
