Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"10,250,000",Toyota,Prius,2012,"195,000",Automatic,Petrol,1800,Registered
"3,990,000",Toyota,Corolla,1998,"260,000",Automatic,Diesel,1975,Registered
"8,950,000",Toyota,Yaris,2023,"12,000",Automatic,Petrol,1000,Registered
"9,500,000",Toyota,Axio,2014,123,Automatic,Petrol,1500,Registered
"7,775,000",Toyota,Aqua,2015,"138,200",Automatic,Petrol,1000,Registered
"6,600,000",Toyota,Passo,2017,"99,600",Automatic,Petrol,1000,Registered
"15,000,000",Toyota,Premio,2018,"60,000",Automatic,Petrol,1500,Registered
"12,300,000",Toyota,Axio,2017,"82,500",Automatic,Hybrid,1500,Registered
"6,775,000",Toyota,Aqua,2012,"102,000",Automatic,Petrol,1496,Registered
"9,375,000",Toyota,Axio,2015,"140,000",Manual,Petrol,1500,Registered
"6,950,000",Toyota,Aqua,2013,"165,000",Automatic,Hybrid,1500,Registered
"8,200,000",Toyota,Aqua,2015,"79,000",Automatic,Hybrid,1500,Registered
"9,250,000",Toyota,Premio,2010,"165,000",Automatic,Hybrid,1500,Registered
"6,600,000",Toyota,Allion,2006,"270,000",Automatic,Petrol,1496,Registered
"5,850,000",Toyota,Wigo,2017,"95,000",Automatic,Petrol,1000,Registered
"6,700,000",Toyota,Axio,2007,"220,000",Manual,Petrol,1500,Registered
"5,500,000",Toyota,Carina,1999,"293,000",Automatic,Petrol,1800,Registered
"9,800,000",Toyota,Yaris,2025,"6,000",Automatic,Petrol,1000,Registered
"4,375,000",Toyota,Passo,2004,"193,000",Automatic,Petrol,1000,Registered
"11,600,000",Toyota,Premio,2015,"159,000",Automatic,Petrol,1500,Registered
"6,800,000",Toyota,Corolla,2008,"128,000",Automatic,Petrol,1000,Registered
"11,000,000",Toyota,Prius,2015,"147,000",Automatic,Hybrid,1500,Registered
"15,000,000",Toyota,Premio,2017,"105,000",Automatic,Petrol,1500,Registered
"6,890,000",Toyota,Aqua,2013,0,Automatic,Petrol,1490,Registered
"17,800,000",Toyota,Premio,2020,"164,000",Automatic,Petrol,1500,Registered
"9,200,000",Toyota,Yaris,2023,0,Automatic,Petrol,1490,Registered
"5,775,000",Toyota,Vitz,2007,"240,000",Automatic,Petrol,1500,Registered
"5,800,000",Toyota,Vitz,2008,"1,310,000",Automatic,Petrol,1000,Registered
"7,150,000",Toyota,Vitz,2015,"105,000",Manual,Petrol,1000,Registered
"5,990,000",Toyota,Belta,2007,"120,000",Manual,Petrol,1300,Registered
"9,850,000",Toyota,Premio,2013,"180,000",Manual,Petrol,1500,Registered
"9,100,000",Toyota,Allion,2007,"117,000",Automatic,Petrol,1500,Registered
"4,500,000",Toyota,Corolla,1999,"65,000",Automatic,Petrol,1500,Registered
"2,300,000",Toyota,Sprinter,1987,0,Manual,Petrol,1500,Registered
"14,600,000",Toyota,Premio,2017,"70,000",Automatic,Petrol,1500,Registered
"5,550,000",Toyota,Vitz,2008,"147,224",Automatic,Petrol,1490,Registered
"5,900,000",Toyota,Belta,2008,0,Automatic,Petrol,1300,Registered
"6,975,000",Toyota,Aqua,2012,"322,000",Automatic,Hybrid,1500,Registered
"6,350,000",Toyota,Aqua,2012,"133,000",Automatic,Petrol,1500,Registered
"10,200,000",Toyota,Axio,2016,"132,000",Automatic,Petrol,1500,Registered
"8,400,000",Toyota,Axio,2015,"148,000",Automatic,Petrol,1200,Registered
"7,550,000",Toyota,Vitz,2016,"129,853",Manual,Petrol,1200,Registered
"8,500,000",Toyota,Yaris,2023,"5,000",Automatic,Petrol,660,Registered
"4,750,000",Toyota,IST,2003,"200,000",Automatic,Petrol,1300,Registered
"5,250,000",Toyota,Vios,2003,"100,000",Manual,Petrol,1500,Registered
"8,675,000",Toyota,Yaris,2023,"33,000",Automatic,Petrol,1000,Registered
"13,700,000",Toyota,Axio,2024,"4,000",Automatic,Hybrid,1496,Registered
"10,200,000",Toyota,Premio,2012,"158,000",Automatic,Petrol,1490,Registered
"10,800,000",Toyota,Premio,2014,"205,000",Automatic,Petrol,1500,Registered
"7,650,000",Toyota,Vitz,2017,"75,000",Automatic,Petrol,1000,Registered
"8,300,000",Toyota,Vitz,2019,"120,000",Automatic,Petrol,990,Registered
"8,000,000",Toyota,Allion,2007,"260,000",Automatic,Petrol,1500,Registered
"10,500,000",Toyota,Prius,2012,"165,000",Automatic,Hybrid,1800,Registered
"7,950,000",Toyota,Passo,2023,"4,000",Automatic,Petrol,996,Registered
"16,000,000",Toyota,Corolla,2021,"75,000",Automatic,Petrol,1800,Registered
"12,800,000",Toyota,Corolla,2014,"30,000",Automatic,Petrol,1600,Registered
"2,450,000",Toyota,Corolla,1992,"197,000",Manual,Diesel,2000,Registered
"7,900,000",Toyota,Vitz,2008,"95,360",Automatic,Petrol,990,Registered
"15,750,000",Toyota,Premio,2019,"8,500",Automatic,Petrol,1499,Registered
"14,500,000",Toyota,Premio,2019,"9,800,000",Automatic,Petrol,1500,Registered
"7,000,000",Toyota,Allion,2003,"217,000",Automatic,Petrol,0,Registered
"4,000,000",Toyota,Corolla,1998,"136,000",Automatic,Petrol,1500,Registered
"4,350,000",Toyota,Carina,1996,"120,000",Automatic,Petrol,1490,Registered
"7,450,000",Toyota,Vitz,2016,"146,000",Automatic,Petrol,1000,Registered
"8,800,000",Toyota,Premio,2007,"181,000",Automatic,Petrol,1500,Registered
"7,950,000",Toyota,Allion,2003,"245,000",Automatic,Petrol,1500,Registered
"11,400,000",Toyota,Prius,2009,"210,000",Automatic,Petrol,1790,Registered
"4,860,000",Toyota,Carina,1998,0,Automatic,Petrol,1500,Registered
"10,400,000",Toyota,Premio,2013,"128,000",Automatic,Petrol,1500,Registered
"9,500,000",Toyota,Allion,2011,0,Automatic,Petrol,1400,Registered
"9,600,000",Toyota,Prius,2013,"5,000",Automatic,Hybrid,1800,Registered
"8,650,000",Toyota,Prius,2012,"128,000",Automatic,Hybrid,1500,Registered
"8,500,000",Toyota,Axio,2014,"187,000",Automatic,Petrol,1500,Registered
"5,800,000",Toyota,Prius,2008,"240,000",Automatic,Hybrid,1500,Registered
"7,600,000",Toyota,Aqua,2013,"138,000",Automatic,Hybrid,1490,Registered
"6,300,000",Toyota,Allion,2002,"174,334",Automatic,Petrol,1500,Registered
"5,850,000",Toyota,IST,2007,"148,000",Automatic,Petrol,1290,Registered
"5,650,000",Toyota,IST,2005,"132,000",Automatic,Petrol,1290,Registered
"8,650,000",Toyota,Aqua,2013,"150,000",Automatic,Petrol,1000,Registered
"10,400,000",Toyota,Premio,2013,"154,000",Automatic,Petrol,1500,Registered
"12,400,000",Toyota,Premio,2015,"100,000",Automatic,Petrol,1500,Registered
"8,350,000",Toyota,Axio,2014,"187,000",Automatic,Petrol,1200,Registered
"5,000,000",Toyota,Vios,2003,"187,000",Automatic,Petrol,1500,Registered
"9,000,000",Toyota,Aqua,2015,"135,000",Automatic,Hybrid,1490,Registered
"8,600,000",Toyota,Vitz,2019,"44,100",Manual,Petrol,1200,Registered
"1,750,000",Toyota,DX Wagon,1992,"200,000",Manual,Petrol,1300,Registered
"5,875,000",Toyota,Vitz,2008,"143,000",Automatic,Petrol,1300,Registered
"6,400,000",Toyota,Allion,2003,"178,344",Automatic,Petrol,1500,Registered
"6,050,000",Toyota,Allion,2002,"295,000",Automatic,Petrol,1500,Registered
"8,750,000",Toyota,Yaris,2023,0,Automatic,Petrol,1000,Registered
"8,600,000",Toyota,Axio,2014,0,Automatic,Hybrid,1500,Registered
"2,750,000",Toyota,Vista,1997,"155,000",Manual,Petrol,1838,Registered
"12,700,000",Toyota,Premio,2017,"9,000",Automatic,Hybrid,1500,Registered
"10,800,000",Toyota,Axio,2016,"14,500",Automatic,Hybrid,1500,Registered
"8,300,000",Toyota,Prius,2010,"1,100",Automatic,Petrol,1500,Registered
"9,500,000",Toyota,Axio,2015,"204,000",Automatic,Hybrid,1500,Registered
"11,200,000",Toyota,Premio,2013,"139,000",Automatic,Hybrid,1500,Registered
"10,900,000",Toyota,Prius,2014,"136,000",Automatic,Hybrid,1500,Registered
"8,500,000",Toyota,Axio,2014,"170,000",Automatic,Hybrid,1500,Registered
"1,120,000",Toyota,Prius,2014,"118,000",Automatic,Petrol,1800,Registered
"8,350,000",Toyota,Aqua,2015,"125,000",Automatic,Hybrid,1500,Registered
"4,900,000",Toyota,Vitz,2007,"148,000",Automatic,Petrol,1000,Registered
"7,500,000",Toyota,Aqua,2013,"173,000",Automatic,Hybrid,1500,Registered
"7,350,000",Toyota,Aqua,2014,"161,000",Automatic,Hybrid,1500,Registered
"6,850,000",Toyota,Prius,2008,"2,150,000",Automatic,Hybrid,1500,Registered
"9,800,000",Toyota,Axio,2016,"105,000",Automatic,Hybrid,1500,Registered
"10,400,000",Toyota,Premio,2014,"174,000",Automatic,Petrol,12000,Registered
"7,250,000",Toyota,Aqua,2013,"93,000",Automatic,Hybrid,1500,Registered
"5,300,000",Toyota,Vios,2003,"160,300",Automatic,Petrol,1500,Registered
"980,000",Toyota,Corolla,1984,"185,000",Manual,Petrol,1290,Registered
"6,750,000",Toyota,Aqua,2015,"100,000",Automatic,Petrol,1500,Registered
"7,990,000",Toyota,Aqua,2015,"175,000",Automatic,Hybrid,1500,Registered
"1,600,000",Toyota,Corolla,1990,"100,000",Manual,Petrol,1200,Registered
"8,450,000",Toyota,Axio,2013,"104,000",Automatic,Petrol,1500,Registered
"15,900,000",Toyota,Yaris,2025,0,Automatic,Petrol,1200,Registered
"14,300,000",Toyota,Premio,2018,"67,000",Automatic,Petrol,1500,Registered
"5,500,000",Toyota,Carina,2000,"190,000",Automatic,Petrol,1500,Registered
"6,100,000",Toyota,Prius,2007,"2,020,000",Automatic,Hybrid,1800,Registered
"4,800,000",Toyota,Passo,2007,"134,000",Automatic,Petrol,1000,Registered
"16,500,000",Toyota,Yaris Ativ,2025,"2,000",Automatic,Petrol,1500,Registered
"7,700,000",Toyota,Vitz,2017,"90,000",Automatic,Petrol,1000,Registered
"13,500,000",Toyota,Allion,2016,"135,000",Automatic,Petrol,1500,Registered
"10,500,000",Toyota,Prius,2012,"145,000",Automatic,Petrol,1790,Registered
"1,500,000",Toyota,Tercel,1990,"175,000",Manual,Petrol,1300,Registered
"7,600,000",Toyota,Aqua,2014,"135,000",Automatic,Petrol,1490,Registered
"7,800,000",Toyota,Vitz,2018,"125,000",Automatic,Petrol,1000,Registered
"5,200,000",Toyota,Vitz,2007,"155,000",Automatic,Petrol,990,Registered
"16,500,000",Toyota,Yaris Ativ,2025,0,Automatic,Petrol,1200,Registered
"8,600,000",Toyota,Vitz,2019,"55,965",Manual,Petrol,1250,Registered
"6,525,000",Toyota,Corolla,2008,"212,000",Automatic,Petrol,1600,Registered
"6,750,000",Toyota,Axio,2007,"213,000",Automatic,Petrol,1500,Registered
"7,250,000",Toyota,Axio,2011,0,Automatic,Petrol,1499,Registered
"2,250,000",Toyota,Carina,1990,"112,000",Automatic,Petrol,1500,Registered
"8,800,000",Toyota,Passo,2023,"18,000",Automatic,Petrol,1000,Registered
"8,950,000",Toyota,Yaris,2023,"18,000",Automatic,Petrol,1000,Registered
"9,200,000",Toyota,Yaris,2023,"40,000",Automatic,Petrol,1000,Registered
"7,325,000",Toyota,Vitz,2015,"97,000",Automatic,Petrol,990,Registered
"5,200,000",Toyota,Vitz,2007,"160,000",Automatic,Petrol,1000,Registered
"9,350,000",Toyota,Axio,2010,0,Automatic,Petrol,1200,Registered
"8,600,000",Toyota,Vitz,2019,"43,500",Automatic,Petrol,990,Registered
"7,000,000",Toyota,Aqua,2013,"95,000",Automatic,Hybrid,1490,Registered
"3,050,000",Toyota,Corolla,1998,"227,000",Automatic,Diesel,2000,Registered
"11,200,000",Toyota,Premio,2014,"199,000",Automatic,Petrol,1500,Registered
"13,000,000",Toyota,Fielder,2024,0,Automatic,Petrol,1500,Registered
"13,000,000",Toyota,Axio,2025,0,Automatic,Petrol,1500,Registered
"11,300,000",Toyota,Prius,2014,"159,000",Other,Petrol,770,Registered
"4,900,000",Toyota,IST,2003,"100,000",Automatic,Petrol,1300,Registered
"11,000,000",Toyota,Premio,2013,"168,000",Automatic,Petrol,1490,Registered
"6,500,000",Toyota,Aqua,2013,"110,000",Automatic,Hybrid,1500,Registered
"6,990,000",Toyota,Aqua,2012,"164,000",Automatic,Hybrid,1500,Registered
"7,250,000",Toyota,Aqua,2014,"170,000",Automatic,Hybrid,1500,Registered
"10,000,000",Toyota,Axio,2015,"80,000",Automatic,Petrol,1490,Registered
"6,275,000",Toyota,Vitz,2013,"90,000",Automatic,Petrol,1300,Registered
"7,400,000",Toyota,Aqua,2013,"150,000",Automatic,Petrol,1000,Registered
"6,150,000",Toyota,Aqua,2013,"156,000",Automatic,Hybrid,1500,Registered
"8,925,000",Toyota,Prius,2010,"121,000",Automatic,Petrol,1790,Registered
"4,750,000",Toyota,Vios,2004,"150,000",Automatic,Petrol,1500,Registered
"12,000,000",Toyota,Axio,2018,"70,000",Automatic,Petrol,1500,Registered
"12,500,000",Toyota,Yaris,2023,"28,880",Automatic,Hybrid,1500,Registered
"8,375,000",Toyota,Allion,2009,"182,000",Automatic,Petrol,1800,Registered
"6,650,000",Toyota,Vitz,2016,"126,000",Automatic,Petrol,1000,Registered
"7,300,000",Toyota,Aqua,2011,"93,000",Automatic,Petrol,1496,Registered
"12,200,000",Toyota,Axio,2018,"85,000",Automatic,Petrol,1500,Registered
"7,350,000",Toyota,Aqua,2013,"125,000",Automatic,Petrol,1330,Registered
"6,650,000",Toyota,Aqua,2012,"164,000",Automatic,Hybrid,1500,Registered
"7,450,000",Toyota,Aqua,2014,"105,000",Automatic,Petrol,1330,Registered
"4,700,000",Toyota,Corolla,2002,"210,000",Manual,Petrol,1490,Registered
"8,800,000",Toyota,Allion,2011,"130,000",Automatic,Petrol,1798,Registered
"8,500,000",Toyota,Prius,2014,"161,000",Automatic,Petrol,1500,Registered
"6,950,000",Toyota,Allion,2003,"217,000",Automatic,Petrol,1500,Registered
"6,350,000",Toyota,Axio,2007,"170,000",Automatic,Petrol,1500,Registered
"7,800,000",Toyota,Yaris,2007,"200,000",Automatic,Petrol,1200,Registered
"7,900,000",Toyota,Vitz,2019,"92,000",Automatic,Petrol,1000,Registered
"5,700,000",Toyota,Belta,2007,"148,514",Automatic,Petrol,1000,Registered
"15,890,000",Toyota,Axio,2025,0,Automatic,Petrol,1500,Registered
"735,000",Toyota,Vitz,2017,"86,000",Automatic,Petrol,1000,Registered
"14,200,000",Toyota,Premio,2017,"93,000",Automatic,Petrol,1500,Registered
"3,650,000",Toyota,Vitz,1999,0,Automatic,Petrol,123456,Registered
"9,200,000",Toyota,Yaris,2023,0,Automatic,Hybrid,1200,Registered
"3,300,000",Toyota,Sprinter,1995,"390,000",Manual,Petrol,1500,Registered
"6,950,000",Toyota,Allion,2003,"217,000",Automatic,Petrol,1490,Registered
"8,300,000",Toyota,Prius,2010,123,Automatic,Hybrid,123,Registered
"7,625,000",Toyota,Passo,2018,"22,000",Automatic,Petrol,1000,Registered
"14,600,000",Toyota,Premio,2017,"115,000",Automatic,Petrol,1500,Registered
"8,400,000",Toyota,Vitz,2017,"90,000",Automatic,Petrol,1200,Registered
"8,100,000",Toyota,Vitz,2018,"81,000",Automatic,Petrol,1200,Registered
"11,700,000",Toyota,Axio,2017,"110,000",Automatic,Petrol,1400,Registered
"10,600,000",Toyota,Premio,2015,"129,000",Automatic,Petrol,1000,Registered
"7,550,000",Toyota,Vitz,2017,"75,000",Automatic,Petrol,1000,Registered
"8,050,000",Toyota,Passo,2023,"6,600",Automatic,Petrol,660,Registered
"7,500,000",Toyota,Allion,2004,"128,000",Automatic,Petrol,1000,Registered
"7,060,000",Toyota,Allion,2003,"155,000",Automatic,Petrol,1500,Registered
"7,500,000",Toyota,Aqua,2013,"203,400",Automatic,Hybrid,1490,Registered
"3,200,000",Toyota,Carina,1995,"120,000",Automatic,Petrol,1500,Registered
"8,975,000",Toyota,Aqua,2015,"152,000",Automatic,Petrol,1500,Registered
"3,150,000",Toyota,Carina,1993,0,Manual,Petrol,1500,Registered
"10,500,000",Toyota,Prius,2013,"162,000",Automatic,Hybrid,1800,Registered
"2,300,000",Toyota,Carina,1989,230,Manual,Petrol,1300,Registered
"5,590,000",Toyota,Yaris,2006,"150,000",Automatic,Petrol,14900,Registered
"6,300,000",Toyota,Belta,2008,"190,000",Automatic,Petrol,990,Registered
"11,000,000",Toyota,Prius,2010,"162,000",Automatic,Hybrid,1500,Registered
"6,800,000",Toyota,Axio,2008,"152,000",Automatic,Petrol,1500,Registered
"5,200,000",Toyota,Vitz,2008,"151,800",Automatic,Petrol,1000,Registered
"1,080,000",Toyota,Prius,2013,"177,000",Automatic,Hybrid,1798,Registered
"4,650,000",Toyota,Passo,2008,"204,000",Automatic,Petrol,990,Registered
"6,850,000",Toyota,Aqua,2012,"148,439",Automatic,Petrol,1500,Registered
"12,950,000",Toyota,Premio,2016,"110,450",Automatic,Hybrid,1496,Registered
"8,800,000",Toyota,Aqua,2015,"92,000",Automatic,Hybrid,1490,Registered
"5,900,000",Toyota,Corolla,2003,0,Automatic,Petrol,1196,Registered
"3,550,000",Toyota,Starlet,1997,"130,000",Automatic,Petrol,1300,Registered
"6,100,000",Toyota,Yaris,2008,"88,000",Automatic,Petrol,1000,Registered
"11,250,000",Toyota,Roomy,2025,0,Automatic,Petrol,996,Registered
"5,150,000",Toyota,Vios,2003,"174,000",Automatic,Petrol,1490,Registered
"6,150,000",Toyota,Yaris,2007,"1,400,000",Automatic,Petrol,1300,Registered
"12,100,000",Toyota,Axio,2017,"123,000",Automatic,Hybrid,1500,Registered
"8,950,000",Toyota,Vitz,2019,"20,000",Automatic,Hybrid,1000,Registered
"6,375,000",Toyota,Corolla,2008,"190,000",Automatic,Petrol,1490,Registered
"1,700,000",Toyota,Corolla,1986,"210,000",Manual,Petrol,1300,Registered
"9,490,000",Toyota,Yaris,2024,"21,000",Automatic,Petrol,1000,Registered
"3,150,000",Toyota,Corolla,1996,"224,000",Automatic,Diesel,2000,Registered
"8,400,000",Toyota,Axio,2013,"155,000",Automatic,Hybrid,1500,Registered
"7,000,000",Toyota,Aqua,2012,"123,500",Automatic,Hybrid,1500,Registered
"8,650,000",Toyota,Premio,2007,"170,000",Automatic,Petrol,1490,Registered
"3,000,000",Toyota,Carina,1992,"230,000",Manual,Petrol,1100,Registered
"6,400,000",Toyota,Prius,2008,"180,000",Automatic,Petrol,1780,Registered
"5,800,000",Toyota,Corolla,2003,"239,000",Automatic,Petrol,1500,Registered
"6,850,000",Toyota,Corolla,2007,"132,000",Automatic,Hybrid,1500,Registered
"4,650,000",Toyota,Passo,2007,"139,000",Automatic,Petrol,1297,Registered
"7,700,000",Toyota,Allion,2007,"215,000",Automatic,Petrol,1496,Registered
"5,500,000",Toyota,Vitz,2008,"170,000",Automatic,Petrol,1300,Registered
"6,400,000",Toyota,Prius,2008,"124,000",Automatic,Hybrid,1499,Registered
"7,250,000",Toyota,Aqua,2014,"103,000",Automatic,Petrol,1490,Registered
"2,925,000",Toyota,AE100,1998,"165,000",Manual,Petrol,1000,Registered
"6,000,000",Toyota,Corolla,2006,"181,561",Manual,Petrol,1300,Registered
"5,050,000",Toyota,Vitz,2007,"114,000",Automatic,Petrol,990,Registered
"5,250,000",Toyota,Vitz,2007,"141,000",Automatic,Petrol,1000,Registered
"7,750,000",Toyota,Vitz,2018,"98,500",Automatic,Petrol,1000,Registered
"8,150,000",Toyota,Passo,2023,"6,600",Automatic,Petrol,660,Registered
"6,200,000",Toyota,Allion,2002,"160,000",Automatic,Petrol,1500,Registered
"15,900,000",Toyota,Corolla,2022,"12,000",Automatic,Petrol,1500,Registered
"6,250,000",Toyota,Yaris,2008,"170,000",Manual,Petrol,1296,Registered
"7,975,000",Toyota,Allion,2008,"118,000",Automatic,Petrol,1500,Registered
"6,180,000",Toyota,Belta,2009,"146,000",Automatic,Petrol,1000,Registered
"2,950,000",Toyota,Corolla,1993,0,Manual,Petrol,1500,Registered
"6,850,000",Toyota,Aqua,2012,"219,000",Automatic,Hybrid,1500,Registered
"7,900,000",Toyota,Aqua,2013,"113,000",Automatic,Petrol,1496,Registered
"4,200,000",Toyota,Corolla,1997,0,Automatic,Petrol,1490,Registered
"5,275,000",Toyota,Vitz,2008,"160,000",Automatic,Petrol,1000,Registered
"7,450,000",Toyota,Aqua,2014,"152,000",Automatic,Petrol,1500,Registered
"14,000,000",Toyota,Premio,2017,"99,000",Automatic,Petrol,1500,Registered
"5,780,000",Toyota,Vitz,2007,"156,219",Automatic,Petrol,1300,Registered
"5,850,000",Toyota,Corolla,2005,"185,000",Manual,Petrol,1300,Registered
"5,875,000",Toyota,Vitz,2007,"125,000",Automatic,Petrol,1300,Registered
"5,100,000",Toyota,Vios,2004,"226,000",Automatic,Petrol,1500,Registered
"2,850,000",Toyota,AE100,1993,"319,000",Manual,Petrol,1500,Registered
"2,995,000",Toyota,Corolla,1994,"190,000",Automatic,Petrol,1330,Registered
"6,895,000",Toyota,Vitz,2013,"81,450",Automatic,Petrol,1300,Registered
"4,575,000",Toyota,IST,2003,"205,200",Manual,Petrol,1299,Registered
"6,650,000",Toyota,Vitz,2016,"150,000",Manual,Petrol,1400,Registered
"8,250,000",Toyota,Prius,2010,"148,000",Automatic,Hybrid,1800,Registered
"8,000,000",Toyota,Aqua,2016,"82,000",Automatic,Hybrid,1500,Registered
"6,650,000",Toyota,Vitz,2016,"150,000",Automatic,Petrol,1200,Registered
"4,700,000",Toyota,Passo,2007,"157,000",Automatic,Petrol,960,Registered
"13,500,000",Toyota,Premio,2014,"100,000",Automatic,Petrol,1500,Registered
"4,600,000",Toyota,Passo,2008,"154,000",Automatic,Petrol,1000,Registered
"8,300,000",Toyota,Vitz,2018,"150,000",Automatic,Petrol,1300,Registered
"8,100,000",Toyota,Passo,2023,"6,600",Automatic,Petrol,660,Registered
"4,350,000",Toyota,Starlet,1997,0,Manual,Petrol,1300,Registered
"5,975,000",Toyota,Yaris,2008,"135,000",Automatic,Petrol,1300,Registered
"13,500,000",Toyota,Premio,2017,"67,000",Automatic,Petrol,1490,Registered
"6,750,000",Toyota,Allion,2003,0,Manual,Petrol,1490,Registered
"5,200,000",Toyota,Vitz,2007,"157,800",Automatic,Petrol,1000,Registered
"8,765,000",Toyota,Yaris,2024,"35,000",Automatic,Petrol,1000,Registered
"8,795,000",Toyota,Yaris,2024,"32,500",Automatic,Petrol,1000,Registered
"6,500,000",Toyota,Prius,2007,"196,000",Automatic,Petrol,1496,Registered
"7,700,000",Toyota,Allion,2008,"174,000",Automatic,Petrol,1490,Registered
"9,500,000",Toyota,Prius,2013,"173,000",Automatic,Hybrid,1800,Registered
"8,795,000",Toyota,Yaris,2024,"21,000",Automatic,Petrol,1000,Registered
"11,200,000",Toyota,Premio,2013,"180,000",Automatic,Petrol,1500,Registered
"15,600,000",Toyota,Premio,2018,"98,000",Automatic,Petrol,1500,Registered
"7,800,000",Toyota,Aqua,2013,"160,000",Automatic,Petrol,1000,Registered
"10,700,000",Toyota,Prius,2014,"156,000",Automatic,Hybrid,1790,Registered
"3,200,000",Toyota,Starlet,2003,"2,566,454",Manual,Petrol,1330,Registered
"2,475,000",Toyota,Corsa,1993,"254,646",Manual,Diesel,1500,Registered
"16,900,000",Toyota,Premio,2019,"113,000",Automatic,Petrol,1500,Registered
"8,250,000",Toyota,Vitz,2018,"81,000",Automatic,Petrol,1000,Registered
"7,600,000",Toyota,Premio,2005,"216,000",Automatic,Petrol,1500,Registered
"7,550,000",Toyota,Axio,2010,"224,477",Automatic,Petrol,1500,Registered
"12,800,000",Toyota,Axio,2018,"145,000",Automatic,Hybrid,1500,Registered
"7,890,000",Toyota,Vitz,2018,"79,000",Automatic,Petrol,1200,Registered
"10,600,000",Toyota,Yaris,2025,700,Automatic,Petrol,990,Registered
"9,500,000",Toyota,Yaris,2023,"20,000",Automatic,Petrol,990,Registered
"6,025,000",Toyota,IST,2007,"148,000",Automatic,Petrol,1490,Registered
"7,400,000",Toyota,Vitz,2015,"146,000",Automatic,Petrol,1000,Registered
"6,790,000",Toyota,Vitz,2015,"116,000",Automatic,Petrol,1500,Registered
"10,700,000",Toyota,Premio,2013,0,Automatic,Petrol,1800,Registered
"8,090,000",Toyota,Axio,2010,"250,000",Automatic,Petrol,1500,Registered
"4,810,000",Toyota,Vios,2003,"184,000",Automatic,Petrol,1500,Registered
"3,750,000",Toyota,Carina,1996,"200,000",Automatic,Diesel,2000,Registered
"8,975,000",Toyota,Yaris,2023,"18,000",Automatic,Petrol,1000,Registered
"9,750,000",Toyota,Premio,2012,"214,000",Automatic,Petrol,1300,Registered
"5,150,000",Toyota,Vitz,2008,"78,000",Automatic,Petrol,1000,Registered
"5,450,000",Toyota,Vitz,2008,"128,000",Automatic,Petrol,1500,Registered
"8,175,000",Toyota,Prius,2010,"160,000",Automatic,Hybrid,1780,Registered
"11,300,000",Toyota,Premio,2014,"205,000",Automatic,Petrol,1500,Registered
"4,800,000",Toyota,Passo,2007,0,Automatic,Petrol,990,Registered
"3,250,000",Toyota,Corolla,2000,"210,000",Manual,Petrol,1490,Registered
"11,700,000",Toyota,Premio,2014,"128,000",Automatic,Petrol,1500,Registered
"5,700,000",Toyota,Belta,2007,"200,000",Automatic,Petrol,1000,Registered
"9,500,000",Toyota,Premio,2011,0,Automatic,Petrol,1500,Registered
"7,650,000",Toyota,Aqua,2014,"185,000",Automatic,Hybrid,1500,Registered
"10,400,000",Toyota,Premio,2013,"167,000",Automatic,Petrol,1500,Registered
"8,500,000",Toyota,Prius,2011,"214,000",Automatic,Hybrid,1800,Registered
"2,800,000",Toyota,Soluna,2002,"220,000",Manual,Petrol,1500,Registered
"7,150,000",Toyota,Aqua,2014,"175,000",Automatic,Petrol,1490,Registered
"6,400,000",Toyota,Corolla,2008,"170,000",Automatic,Petrol,1490,Registered
"6,200,000",Toyota,IST,2007,"155,000",Automatic,Petrol,1000,Registered
"5,750,000",Toyota,Yaris,2008,"177,000",Automatic,Petrol,1300,Registered
"7,580,000",Toyota,Aqua,2013,"171,890",Automatic,Hybrid,1500,Registered
"10,800,000",Toyota,Axio,2016,"143,714",Automatic,Hybrid,1500,Registered
"7,400,000",Toyota,Aqua,2014,"80,000",Automatic,Petrol,1500,Registered
"8,300,000",Toyota,Allion,2007,"185,000",Automatic,Petrol,1500,Registered
"8,990,000",Toyota,Prius,2011,"20,800",Automatic,Hybrid,1800,Registered
"8,200,000",Toyota,Allion,2005,"175,000",Automatic,Petrol,1000,Registered
"7,950,000",Toyota,Aqua,2014,"125,000",Automatic,Petrol,1330,Registered
"8,390,000",Toyota,Aqua,2015,"95,400",Automatic,Hybrid,1500,Registered
"8,850,000",Toyota,Prius,2010,"185,000",Automatic,Hybrid,17900,Registered
"6,600,000",Toyota,Corolla,2008,"211,000",Automatic,Petrol,1590,Registered
"9,500,000",Toyota,Premio,2011,"172,000",Automatic,Petrol,1500,Registered
"6,000,000",Toyota,Prius,2008,"340,000",Automatic,Petrol,1000,Registered
"7,400,000",Toyota,Vitz,2018,"91,000",Automatic,Hybrid,1000,Registered
"7,800,000",Toyota,Vitz,2018,"72,700",Automatic,Petrol,1000,Registered
"6,690,000",Toyota,Yaris,2011,"158,000",Automatic,Petrol,1300,Registered
"8,500,000",Toyota,Aqua,2015,"117,000",Automatic,Hybrid,1500,Registered
"5,300,000",Toyota,Vitz,2009,"110,000",Automatic,Petrol,1000,Registered
"7,800,000",Toyota,Axio,2008,"206,000",Automatic,Petrol,1500,Registered
"7,500,000",Toyota,Aqua,2013,"112,000",Automatic,Hybrid,1500,Registered
"5,800,000",Toyota,Vitz,2011,"120,000",Automatic,Petrol,990,Registered
