Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition,vehicle_age
15000000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
8500000,Toyota,Aqua,2015,198000.0,Automatic,Hybrid,1500.0,Used,11
12495000,Toyota,Raize,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
14350000,Toyota,Raize,2025,25.0,Automatic,Hybrid,1200.0,Brand New,1
10950000,Toyota,Yaris,2024,10000.0,Automatic,Petrol,1000.0,Brand New,2
14750000,Toyota,Raize,2026,55.0,Automatic,Hybrid,1200.0,Brand New,0
14875000,Toyota,Raize,2025,47.0,Automatic,Hybrid,1200.0,Brand New,1
14850000,Toyota,Raize,2026,13.0,Automatic,Hybrid,1200.0,Brand New,0
11350000,Toyota,Yaris,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
18000000,Toyota,Yaris,2026,0.0,Automatic,Hybrid,1500.0,Brand New,0
17985000,Toyota,Yaris,2026,0.0,Automatic,Hybrid,1500.0,Brand New,0
12500000,Toyota,Premio,2014,121667.0,Automatic,Petrol,1500.0,Used,12
28750000,Toyota,Hilux,2025,800.0,Tiptronic,Diesel,2800.0,Used,1
12950000,Toyota,Raize,2024,5500.0,Automatic,Petrol,1200.0,Reconditioned,2
42500000,Toyota,Land Cruiser Prado,2018,110000.0,Automatic,Petrol,2800.0,Reconditioned,8
14650000,Toyota,Raize,2026,0.0,Automatic,Petrol,1200.0,Brand New,0
13190000,Toyota,Raize,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
14650000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
5975000,Toyota,Vios,2010,98000.0,Automatic,Petrol,1500.0,Used,16
5790000,Toyota,Vios,2010,165000.0,Automatic,Petrol,1500.0,Reconditioned,16
8590000,Toyota,Aqua,2015,152500.0,Automatic,Hybrid,1500.0,Used,11
10650000,Toyota,Roomy,2024,4000.0,Automatic,Petrol,1000.0,Reconditioned,2
8495000,Toyota,Passo,2024,15000.0,Automatic,Petrol,1000.0,Reconditioned,2
51000000,Toyota,Land Cruiser Prado,2018,16000.0,Automatic,Diesel,2800.0,Used,8
6975000,Toyota,Vitz,2016,150000.0,Automatic,Petrol,1000.0,Used,10
4395000,Toyota,Corolla,1997,170043.0,Automatic,Petrol,1490.0,Used,29
9575000,Toyota,Prius,2011,133034.0,Automatic,Hybrid,1790.0,Used,15
8250000,Toyota,Vitz,2018,112050.0,Automatic,Petrol,1000.0,Used,8
5625000,Toyota,Vitz,2007,195300.0,Automatic,Petrol,1300.0,Used,19
5775000,Toyota,Vios,2007,135000.0,Automatic,Petrol,1500.0,Used,19
4690000,Toyota,Carina,2011,185000.0,Automatic,Petrol,1500.0,Reconditioned,15
17300000,Toyota,Hilux,2017,141000.0,Manual,Diesel,2500.0,Used,9
4590000,Toyota,Carina,2012,193000.0,Automatic,Petrol,1500.0,Reconditioned,14
12500000,Toyota,Raize,2025,4000.0,Automatic,Petrol,1000.0,Used,1
53500000,Toyota,Land Cruiser Prado,2017,132000.0,Automatic,Diesel,3000.0,Used,9
14500000,Toyota,Raize,2025,320.0,Automatic,Hybrid,1200.0,Brand New,1
54700000,Toyota,Land Cruiser Prado,2024,20000.0,Tiptronic,Petrol,2700.0,Used,2
52700000,Toyota,Land Cruiser Prado,2023,3500.0,Tiptronic,Petrol,2700.0,Used,3
5990000,Toyota,Vitz,2007,30000.0,Automatic,Petrol,1300.0,Used,19
13550000,Toyota,Hilux,2024,0.0,Automatic,Diesel,2400.0,Brand New,2
39500000,Toyota,Land Cruiser,2010,170000.0,Automatic,Petrol,4600.0,Used,16
15950000,Toyota,Land Cruiser Prado,2008,223000.0,Automatic,Petrol,2700.0,Reconditioned,18
58000000,Toyota,Land Cruiser Prado,2025,1600.0,Automatic,Petrol,2700.0,Reconditioned,1
6750000,Toyota,Belta,2010,123000.0,Automatic,Petrol,1000.0,Used,16
13200000,Toyota,CHR,2018,110000.0,Automatic,Petrol,1200.0,Used,8
11250000,Toyota,Axio,2017,98200.0,Automatic,Hybrid,1500.0,Used,9
8525000,Toyota,Premio,2008,170000.0,Automatic,Petrol,1500.0,Used,18
14500000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
9375000,Toyota,Yaris,2023,63000.0,Automatic,Petrol,1000.0,Reconditioned,3
14900000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
11850000,Toyota,Yaris,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
17750000,Toyota,Yaris Cross,2024,28000.0,Automatic,Hybrid,1500.0,Used,2
61200000,Toyota,Land Cruiser Prado,2025,175.0,Automatic,Petrol,2700.0,Brand New,1
42500000,Toyota,Harrier,2025,1000.0,Automatic,Petrol,2000.0,Brand New,1
13450000,Toyota,Raize,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
13850000,Toyota,Raize,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
13850000,Toyota,Raize,2024,0.0,Automatic,Hybrid,1200.0,Brand New,2
